SMILES,Density
O=N(=O)OCC1CN=N(=O)O1,1.731
OC(=O)C1=CC=CC=C1N(=O)=O,1.572
BrC1=CC=CC(=C1)N(=O)=O,1.544
OC1=CC=CC(O)=C1N(=O)=O,1.335
O=CC1=CC=CC=C1N(=O)=O,1.232
CN(C)CC1=CC=CC=C1N(=O)=O,1.112
CC1=CC(=C(N)C=C1)N(=O)=O,1.084
CC(C)C1CCC(C)CC1OC(=O)C1=CC=C(C=C1)N(=O)=O,0.998
CC(C)C1CCC(C)CC1OC(=O)C1=C(C=CC=C1)N(=O)=O,0.984
BrON(=O)=O,2.867
BrC(Br)(Br)N(=O)=O,2.794
BrC(Br)(Br)\C=C\N(=O)=O,2.778
BrC1=C(I)C(=CC=C1)N(=O)=O,2.535
IC1=C(C(=NN1)N(=O)=O)N(=O)=O,2.46
OCCN1C(C=CC2=CC(Br)=CC=C2)=NC=C1N(=O)=O,2.452
BrC(Br)(N(=O)=O)N(=O)=O,2.445
OC1=C(C=C(Br)C=C1Br)N(=O)=O,2.433
CN1N=NC(=C1I)N(=O)=O,2.41
ClI1OC(=O)C2=C1C=CC(=C2)N(=O)=O,2.451
NC1=C(Br)C=C(C=C1Br)N(=O)=O,2.377
BrC1=CC(=C(Br)C=C1)N(=O)=O,2.374
BrC1=CC(=CC(Br)=C1)N(=O)=O,2.367
BrC1=C(Br)C(=CC=C1)N(=O)=O,2.358
BrC1=CC(Br)=C(C=C1)N(=O)=O,2.36
BrC1=CC=C(C=C1Br)N(=O)=O,2.358
NC1=CC(=C(Br)C=C1Br)N(=O)=O,2.349
NC1=CC=C(I)C=C1N(=O)=O,2.368
BrC1=CC(Br)=C(C=C1N(=O)=O)N(=O)=O,2.314
BrC1=CC(=C(C=C1Br)N(=O)=O)N(=O)=O,2.313
CN1N=C(C(=C1I)N(=O)=O)N(=O)=O,2.3
IC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,2.299
NC1=CC=C(C=C1I)N(=O)=O,2.314
BrC1=CC(Br)=C(C(=C1)N(=O)=O)N(=O)=O,2.274
BrC(N(=O)=O)(N(=O)=O)N(=O)=O,2.273
BrC1=CC=CC(Br)=C1N(=O)=O,2.215
O=N(=O)ON(=O)=O,2.233
CCN1N=NC(=C1I)N(=O)=O,2.17
CC1=C(C(Br)=C(C(Br)=C1)N(=O)=O)N(=O)=O,2.155
IC1=NC2=CC=CC(=C2C=C1)N(=O)=O,2.14
CN1N=C(I)C(=N1)N(=O)=O,2.13
CC(=O)C(Br)(Br)N(=O)=O,2.116
CCN1N=C(I)C(=N1)N(=O)=O,2.11
BrC1(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O,2.105
CO\N=C(/I)C1=CC=C(C=C1)N(=O)=O,2.136
OCC(Br)(CO)N(=O)=O,2.089
ClC1=CC(=CC(Cl)=C1Br)N(=O)=O,2.079
IC1=COC(=C1)C1=CC=C(C=C1)N(=O)=O,2.101
O=C(NN(=O)=O)NN(=O)=O,2.117
ClON(=O)=O,2.104
F\C(N(=O)=O)=C(\F)N(=O)=O,2.053
NC1=C(Cl)C=C(Br)C(=C1)N(=O)=O,2.052
ClC1=CC(=CC(Br)=C1)N(=O)=O,2.048
[H][C@@]12O[C@@]([H])(C=C1)[C@](Br)([C@@H]2C(Cl)(Cl)Cl)N(=O)=O,2.041
CC1=NC=C(N1CCI)N(=O)=O,2.039
ClC1=CC=C(Br)C=C1N(=O)=O,2.035
OC1=C(C=C(C=C1Br)N(=O)=O)N(=O)=O,2.025
O=N(=O)C1=NN(C(=C1)N(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,2.068
FC(N1N=C(C=C1N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,2.06
O=N(=O)N1C2OC3OC2N(C2OC3OC12)N(=O)=O,2.032
BrCN(=O)=O,1.994
BrCC1(CN(C1)N(=O)=O)N(=O)=O,1.994
OC(C(O)C(Cl)(N(=O)=O)N(=O)=O)C(Cl)(N(=O)=O)N(=O)=O,1.992
NC1=C(Br)C=CC=C1N(=O)=O,1.988
BrCC1(CN(C1)N(=O)=O)ON(=O)=O,1.982
OC(=O)C1=C(C=C(Br)C=C1)N(=O)=O,1.977
O=C1N(C2C(N1N(=O)=O)N(C(=O)N2N(=O)=O)N(=O)=O)N(=O)=O,1.97
O=N(=O)C1=CN(N=C1N(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,2.005
NC(=NCl)C(Cl)(N(=O)=O)N(=O)=O,2.007
O=N(=O)C1=NN2N=NN3N=C(C(=C3C2=C1N(=O)=O)N(=O)=O)N(=O)=O,1.955
O=N(=O)OC(ON(=O)=O)C(ON(=O)=O)ON(=O)=O,1.954
NN1C(=NC(=C1N(=O)=O)N(=O)=O)C1=NC(=C(N1N)N(=O)=O)N(=O)=O,1.95
NC1=C(Br)C=C(C=C1C#N)N(=O)=O,1.985
IC1=CC(=CC=C1)N(=O)=O,1.942
ClC1=C(NN=C1N(=O)=O)N(=O)=O,1.972
O=N(=O)NC1=NON=C1N(=O)=O,1.94
FC(COC(=O)NN(=O)=O)(N(=O)=O)N(=O)=O,1.969
BrC1=CC=C(C=C1)N(=O)=O,1.944
O=N(=O)C1=NON=C1C1=NON(=O)=C1C1=NON=C1N(=O)=O,1.937
NC1=C(Cl)N=NC(Cl)=C1N(=O)=O,1.95
O=N(=O)NC1=NON=C1C1=NOC(=NO1)C1=NON=C1NN(=O)=O,1.93
CN1C(=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.93
BrC1=CC=C2C(C=CC=N2=O)=C1N(=O)=O,1.93
OC1=C(C(Cl)=C(C(Cl)=C1N(=O)=O)N(=O)=O)N(=O)=O,1.929
N\C(N)=C(/N(=O)=O)N(=O)=O,1.963
NC1=C(C2=NN=NN2C2=NON(=O)=C12)N(=O)=O,1.922
FN(F)C(N1N=C(C=C1N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.92
ClC1=C(N(CC2=NN=NN2)N=C1N(=O)=O)N(=O)=O,1.92
OC(=O)C1=C(C=CC(Br)=C1)N(=O)=O,1.922
FC(C1=NN=C(O1)C(F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.92
ClC1=C(Cl)C(=C(Cl)C(Cl)=C1N(=O)=O)N(=O)=O,1.92
O=N(=O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)C1=NON=C1C#N,1.967
IC1=C(C=CC=C1)N(=O)=O,1.907
CN(C1=C(F)C(F)=C(C(F)=C1F)C(F)(F)F)N(=O)=O,1.917
NC1=C(C=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.963
O=N(=O)C1=CC(=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.947
FC(CN(CC(F)(N(=O)=O)N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.91
O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O,1.905
O=N(=O)NC1=C(C(=NN1)C(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,1.9
NC1=C(NN=C1N(=O)=O)N(=O)=O,1.9
OC(=O)C(=N#N)N(=O)=O,1.899
O=N(=O)NC1=NON=C1NN(=O)=O,1.899
BrC1=NC(=CC=C1)N1C=C(C=N1)N(=O)=O,1.944
Br\C(N(=O)=O)=C/C1=CC=CC=C1,1.941
O=N(=O)C1=NNC(=N1)C1=NC(=NN1)N(=O)=O,1.89
O=N(=O)C1=C(N=N#N)N2N=NN3C(=NC(=C3N=N#N)N(=O)=O)C2=N1,1.888
O=N(=O)C(N1C2=NON=C2NC2=NON=C12)N(=O)=O,1.884
O=N(=O)N=C1NN=C(N1)C1=NNN=C1N(=O)=O,1.883
