nHbondA,nHbondD,nNH2,nAHC,nACC,nHC,nRbond,nR,nNNO2,nONO2,nNO2,nC(NO2)3,nC(NO2)2,nC(NO2),MinPartialCharge,MaxPartialCharge,MOLvolume,nH,nC,nN,nO,PBF,TPSA,ob,total energy,molecular weight,PMI3,nOCH3,nCH3,Eccentricity,PMI2,PMI1,NPR1,NPR2,ESTATE_0,ESTATE_1,ESTATE_2,ESTATE_3,ESTATE_4,ESTATE_5,ESTATE_6,ESTATE_7,ESTATE_8,ESTATE_9,ESTATE_10,ESTATE_11,ESTATE_12,ESTATE_13,ESTATE_14,ESTATE_15,ESTATE_16,ESTATE_17,ESTATE_18,ESTATE_19,ESTATE_20,ESTATE_21,ESTATE_22,ESTATE_23,ESTATE_24,ESTATE_25,ESTATE_26,ESTATE_27,ESTATE_28,ESTATE_29,ESTATE_30,ESTATE_31,ESTATE_32,ESTATE_33,ESTATE_34,ESTATE_35,ESTATE_36,ESTATE_37,ESTATE_38,ESTATE_39,ESTATE_40,ESTATE_41,ESTATE_42,ESTATE_43,ESTATE_44,ESTATE_45,ESTATE_46,ESTATE_47,ESTATE_48,ESTATE_49,ESTATE_50,ESTATE_51,ESTATE_52,ESTATE_53,ESTATE_54,ESTATE_55,ESTATE_56,ESTATE_57,ESTATE_58,ESTATE_59,ESTATE_60,ESTATE_61,ESTATE_62,ESTATE_63,ESTATE_64,ESTATE_65,ESTATE_66,ESTATE_67,ESTATE_68,ESTATE_69,MP_K,SMILES
8,1,0,2,0,2,2,2,0,0,0,0,0,0,-0.408643482,0.329669296,113.128,2,3,6,2,7.95E-07,102.75,-0.519399833,135.0139943,154.089,819.6767088,0,1,0.97606829,641.4263419,819.6767088,0.217464233,0.782535767,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.115092593,0,0,0,0,0.177083333,0,0,0,0,0,0,0,0,0,0,0,16.78462963,0,0,0.463148148,0,8.881203704,0,0,4.412175926,0,0,0,0,406.15,ON1N=NN=C1C1=NOC=N1
7,0,0,0,0,1,8,1,0,1,0,0,0,0,-0.313837046,0.293995846,215.68,12,8,4,6,0.731696142,122.42,-0.984328854,98.37276213,260.206,3653.036118,0,5,0.989803084,3605.523091,3653.036118,0.142442463,0.986993551,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,4,1,0,0,0,0,0,0,0,0.114896041,0,0,0,0,0,0,-0.703349028,0,0,0,0,0,0,0,0,0,0,0,2.648880385,0,1.889071555,-0.938293073,0,0,0,42.90360113,4.053327192,0,0,0,0,0,366.15,O=NN(CCCON(=O)=O)CN1C(=O)CCC1=O
8,0,0,0,1,1,9,2,0,1,1,0,0,1,-0.313837046,0.300510808,279.112,11,12,5,8,0.657442282,165.56,-0.974336536,154.8793905,353.247,6666.837584,0,4,0.970313209,5472.324452,6666.837584,0.241851766,0.820827624,0,0,4,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,5,1,0,0,0,0,0,0,0,-0.625527853,0,0,3.342838097,0,0,0,-1.882478355,-0.359654839,0,0,0,0,0,0,0,0,0,0,2.690872701,0,1.835465482,-1.680765028,0,0,0,55.63157352,4.090088424,0,0,0,0,0,409.15,O=NN(CCCON(=O)=O)CN1C(=O)C(=O)C2=C1C=CC(=C2)N(=O)=O
6,0,0,0,2,1,4,3,0,0,4,0,0,4,-0.414526027,0.42593632,271.176,4,13,4,10,0.204931663,198.86,-0.765972232,140.9639537,376.193,5889.425619,0,2,0.973985935,4730.919838,5889.425619,0.22660847,0.803290532,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3.503528597,0,0,0,0,-4.47571544,-1.685881519,0,0,0,0,0,0,0,0,0,0,0,0,-4.583251642,0,0,0,56.65820653,0,4.780813492,0,0,0,0,535.15,O=C1OC2=C(C(=C(C=C2C2=CC=C(C=C12)N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
12,0,0,2,0,3,6,3,0,2,0,0,0,0,-0.291889107,0.334373904,229.672,4,7,8,8,0.619001399,192.99,-0.390225808,215.7408327,328.157,4225.289821,0,0,0.904090269,2826.899784,4225.289821,0.427341533,0.669042812,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,3,2,1,0,0,0,0,0,0,-1.612570862,0,0,0,0,0,0,0,0,-0.487600676,0,0,0,0,0,0,0,0,0,0,14.65647408,0,-2.23660982,1.44952192,0,0,32.76395647,8.238417108,4.411304563,0,0,0,0,427.15,O=C1N(CON(=O)=O)C2=NC3=NON=C3N=C2N1CON(=O)=O
8,0,0,0,0,1,4,1,2,1,0,0,0,0,-0.306305215,0.435166027,176.712,5,4,5,8,0.737387314,162.2,-0.159353781,121.790024,251.111,1846.014037,0,2,0.865724625,1224.856325,1846.014037,0.500520603,0.663514091,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,1,0,0,0,0,0,0,0,-1.47787037,0,0,0,-1.459722222,0,0,-1.483150038,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.249074074,-3.639571051,0,0,0,42.00710317,3.978055556,0,0,0,0,0,355.15,O=C1N(CC(CN1N(=O)=O)ON(=O)=O)N(=O)=O
6,1,0,1,0,2,0,2,0,0,0,0,0,0,-0.286795602,0.271950826,101.6,2,3,6,1,3.07E-06,85.06,-0.695505973,81.19365199,138.09,562.5986446,0,1,0.969154817,423.9446803,562.5986446,0.246452717,0.753547283,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.100555556,0,0,0,0,0,0.243055556,0,0,0,0,0,0,2.378472222,0,0,0,13.74773148,0,0,1.126388889,0,0,10.55444444,0,0,0,0,0,0,448.85,[H]C1=NN2N=NN=C2NC1=O
3,0,0,0,2,2,3,4,0,0,1,0,0,1,-0.273369367,0.259486808,318.68,15,18,3,3,1.094147364,66.69,-1.65708114,101.3686788,392.242,6399.134784,0,6,0.96885111,5862.086414,6399.134784,0.247643951,0.916074846,0,0,2,0,0,8,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0.80473209,0,0,13.8737756,-2.186166226,0,0,-0.103459695,2.579943144,0,0,0,0,0,0,0,0,0,0,0,0,3.36933579,-0.287551965,0,0,0,24.54955908,0,0,0,11.9258712,0,0,468.15,ClC1=CC=C(C=C1)C1C(C(N2N1CCC2=O)C1=CC=C(Cl)C=C1)N(=O)=O
5,0,0,0,0,2,2,2,0,0,1,0,0,1,-0.460270886,0.305624374,382.208,33,19,1,4,0.840994725,69.44,-2.004042309,73.34882435,403.61,6707.142558,0,17,0.935872281,4936.432215,6707.142558,0.352339429,0.735996316,0,0,15,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,14.38289827,0,0,0,-0.44922039,0,0,-0.118962323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121861772,0,0,0,23.69905337,5.815596498,0,0,0,0,0,337.15,O=C1CCCCCCCCCCC(CCC(O1)C1SCCCS1)N(=O)=O
3,0,0,0,0,0,2,1,0,0,2,0,0,2,-0.292002904,0.269781174,254.224,20,12,2,5,0.838009424,103.35,-1.705022183,85.58709641,272.301,2750.692487,0,12,0.93577585,2080.949229,2750.692487,0.352595461,0.756518309,0,0,9,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,4.684901817,0,0,0,-1.797441421,0,0,-0.330345805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.843233182,0,0,0,33.41551761,0,0,0,0,0,0,365.15,O=C1CCCCCCC(CCCC1N(=O)=O)N(=O)=O
